Accession,Release_Date,Species,Length,Sequence_Type,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date,GenBank_Title
MT706201,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-80/2020, complete genome"
MT706202,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-81/2020, complete genome"
MT706203,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-82/2020, complete genome"
MT706204,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Columbia county",WI,Homo sapiens,oronasopharynx,2020-03-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-83/2020, complete genome"
MT706205,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-84/2020, complete genome"
MT706206,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-85/2020, complete genome"
MT706207,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-86/2020, complete genome"
MT706208,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-87/2020, complete genome"
MT706210,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-89/2020, complete genome"
MT706212,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-92/2020, complete genome"
MT706213,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-93/2020, complete genome"
MT706214,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-94/2020, complete genome"
MT706215,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-95/2020, complete genome"
MT706216,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-96/2020, complete genome"
MT706218,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-98/2020, complete genome"
MT706219,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-99/2020, complete genome"
MT706220,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-100/2020, complete genome"
MT706221,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-101/2020, complete genome"
MT706222,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-102/2020, complete genome"
MT706223,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-103/2020, complete genome"
MT706224,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Sauk county",WI,Homo sapiens,oronasopharynx,2020-04-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-104/2020, complete genome"
MT706225,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-105/2020, complete genome"
MT706226,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-106/2020, complete genome"
MT706227,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-107/2020, complete genome"
MT706228,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-108/2020, complete genome"
MT706229,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-109/2020, complete genome"
MT706230,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-110/2020, complete genome"
MT706231,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-111/2020, complete genome"
MT706232,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-112/2020, complete genome"
MT706233,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Colorado, El Paso county",CO,Homo sapiens,oronasopharynx,2020-03-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-UW-113/2020, complete genome"
MT706234,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-114/2020, complete genome"
MT706235,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-115/2020, complete genome"
MT706236,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-116/2020, complete genome"
MT706237,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-03-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-117/2020, complete genome"
MT706238,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Sauk county",WI,Homo sapiens,oronasopharynx,2020-03-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-118/2020, complete genome"
MT706239,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-119/2020, complete genome"
MT706240,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-120/2020, complete genome"
MT706241,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Iowa, Dubuque county",IA,Homo sapiens,oronasopharynx,2020-04-11,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IA-UW-121/2020, complete genome"
MT706243,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,USA: Wisconsin,WI,Homo sapiens,oronasopharynx,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-250/2020, complete genome"
MT706244,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,USA: Wisconsin,WI,Homo sapiens,oronasopharynx,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-251/2020, complete genome"
MT706245,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,USA: Wisconsin,WI,Homo sapiens,oronasopharynx,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-252/2020, complete genome"
MT706246,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,USA: Wisconsin,WI,Homo sapiens,oronasopharynx,2020-03-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-253/2020, complete genome"
MT706247,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,USA: Wisconsin,WI,Homo sapiens,oronasopharynx,2020-04-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-254/2020, complete genome"
MT706248,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,USA: Wisconsin,WI,Homo sapiens,oronasopharynx,2020-04-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-255/2020, complete genome"
MT706249,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,USA: Wisconsin,WI,Homo sapiens,oronasopharynx,2020-04-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-257/2020, complete genome"
MT706250,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,USA: Wisconsin,WI,Homo sapiens,oronasopharynx,2020-04-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-258/2020, complete genome"
MT706251,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,2020-04-11,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-UW-123/2020, complete genome"
MT706252,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-124/2020, complete genome"
MT706253,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,2020-04-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-UW-125/2020, complete genome"
MT706254,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,2020-04-11,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-UW-126/2020, complete genome"
MT706255,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-127/2020, complete genome"
MT706256,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-128/2020, complete genome"
MT706258,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Illinois, Winnebago County",IL,Homo sapiens,oronasopharynx,2020-04-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-UW-130/2020, complete genome"
MT706259,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Richland county",WI,Homo sapiens,oronasopharynx,2020-04-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-131/2020, complete genome"
MT706260,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Rock county",WI,Homo sapiens,oronasopharynx,2020-04-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-132/2020, complete genome"
MT706262,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,USA: Wisconsin,WI,Homo sapiens,oronasopharynx,2020-04-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-134/2020, complete genome"
MT706263,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-135/2020, complete genome"
MT706264,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Grant county",WI,Homo sapiens,oronasopharynx,2020-04-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-136/2020, complete genome"
MT706265,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,2020-04-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-UW-137/2020, complete genome"
MT706266,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,2020-04-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-UW-138/2020, complete genome"
MT706268,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-140/2020, complete genome"
MT706269,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,2020-04-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-UW-141/2020, complete genome"
MT706270,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,2020-04-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-UW-142/2020, complete genome"
MT706271,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,2020-04-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-UW-143/2020, complete genome"
MT706272,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-144/2020, complete genome"
MT706273,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-145/2020, complete genome"
MT706275,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-147/2020, complete genome"
MT706276,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-148/2020, complete genome"
MT706277,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,2020-04-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-UW-149/2020, complete genome"
MT706279,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-151/2020, complete genome"
MT706280,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-152/2020, complete genome"
MT706281,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2020-04-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-153/2020, complete genome"
MT706282,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Monroe county",WI,Homo sapiens,oronasopharynx,2020-04-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-154/2020, complete genome"
MT706284,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-156/2020, complete genome"
MT706285,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-157/2020, complete genome"
MT706286,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-158/2020, complete genome"
MT706287,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-159/2020, complete genome"
MT706288,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-160/2020, complete genome"
MT706289,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-161/2020, complete genome"
MT706290,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-162/2020, complete genome"
MT706291,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Waukesha county",WI,Homo sapiens,oronasopharynx,2020-03-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-163/2020, complete genome"
MT706292,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Waukesha county",WI,Homo sapiens,oronasopharynx,2020-03-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-164/2020, complete genome"
MT706293,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-165/2020, complete genome"
MT706294,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-166/2020, complete genome"
MT706295,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Waukesha county",WI,Homo sapiens,oronasopharynx,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-167/2020, complete genome"
MT706296,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-168/2020, complete genome"
MT706297,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Ozaukee county",WI,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-169/2020, complete genome"
MT706298,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-170/2020, complete genome"
MT706299,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-171/2020, complete genome"
MT706300,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-172/2020, complete genome"
MT706301,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-173/2020, complete genome"
MT706302,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Ozaukee county",WI,Homo sapiens,oronasopharynx,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-174/2020, complete genome"
